ID,Type,Recovery,SacTime,Sodium,Potassium,tCO2,CK,Glucose,CA,BUN,AST,TBIL,ALB,TP,GLOB,WBC,AbsLYM,AbsMON,AbsNEU,LYp,MOp,NEp,RBC,HGB,HCT,MCV,MCH,MCHC,RDWc,PLT,PCT,MPV,PDWc
m190184,EXC,hit2rec7,hr3,148,5.1,23,226,224,9.8,29,114,0.4,4.3,5.6,1.3,2.35,2.09,0.09,0.16,89.3,3.9,6.9,9.3,13.9,39.06,42,15,35.7,16.6,627,0.33,5.3,28.5
m190185,EXC,hit2rec7,hr3,152,5.1,17,448,194,10.3,28,130,0.3,3.7,5.2,1.5,3.95,3.48,0.02,0.46,87.9,0.4,11.6,9.47,13.5,39.02,41,14.3,34.6,17.2,664,0.37,5.6,29.6
m190196,EXC,hit2rec7,hr3,152,5.8,21,647,187,10.4,26,160,0.4,4.3,5.4,1.1,9.44,6.28,0.45,2.71,66.5,4.7,28.7,9.06,13.8,37.18,41,15.2,37.1,16.3,60,0.03,5.6,32.2
m190210,EXC,hit2rec7,hr3,149,4.8,16,359,211,9.6,26,104,0.4,3.9,5.2,1.3,7.84,5.19,0.65,2,66.2,8.3,25.5,9.22,14.4,37.48,41,15.6,38.3,17.2,319,0.2,6.3,36.6
m190216,EXC,hit2rec7,hr3,150,5.3,20,1023,246,9.6,24,239,0.4,4.1,5.3,1.2,8.15,6.22,0.05,1.88,76.3,0.6,23.1,8.86,12.9,36.1,41,14.5,35.6,16.6,83,0.05,5.5,30.7
m190228,EXC,hit2rec7,hr3,152,4.4,22,213,206,9.9,33,80,0.3,4.1,5.2,1.2,15.77,12.06,0.1,3.61,76.4,0.6,22.9,9.66,13.3,39.45,41,13.8,33.8,16.9,146,0.09,6,33.4
m190005,EXC,hit2rec7,d1,149,4.8,26,150,202,9.5,24,56,0.4,4.1,4.9,0.8,7.02,6.38,0.19,0.45,90.9,2.7,6.4,8.37,13.2,36.16,43,15.7,36.4,16.5,576,0.32,5.5,27.9
m190045,EXC,hit2rec7,d1,147,4.7,18,194,225,9.5,37,62,0.2,3.7,4.8,1.1,4.65,3.77,0.24,0.64,81.1,5.2,13.7,9.21,13.7,37.91,41,14.8,36,16.9,713,0.41,5.8,29.1
m190055,EXC,hit2rec7,d1,150,5.1,25,294,218,10.1,27,81,0.4,3.5,5,1.5,7.4,6.18,0.25,0.97,83.5,3.3,13.1,9.9,13.7,40.94,41,13.9,33.5,17.8,753,0.42,5.6,28.5
m190150,EXC,hit2rec7,d1,145,5.4,17,180,213,10,21,84,0.4,3,4.5,1.5,7.72,5.95,0.42,1.35,77.1,5.5,17.4,9.17,13.2,38.74,42,14.4,34.2,17.5,867,0.51,5.9,30.2
m190162,EXC,hit2rec7,d1,148,4.5,19,473,199,10.1,23,109,0.4,4,4.8,0.8,12.39,10.1,0.63,1.66,81.5,5.1,13.4,9.23,13.2,38.7,42,14.3,34.2,17.5,381,0.26,6.8,31.7
m190209,EXC,hit2rec7,d1,152,5.3,21,210,210,10.1,25,75,0.4,3.9,5.3,1.4,16.5,11.5,1.36,3.64,69.7,8.3,22,9.95,14.3,41.11,41,14.4,34.8,16.9,235,0.15,6.4,36.6
m200021,EXC,hit2rec7,d1,147,5.1,20,199,190,9.4,21,74,0.5,3.7,4.9,1.1,8.97,7.58,0.45,0.95,84.5,5,10.5,9.29,13.2,38.5,41,14.3,34.4,16.3,595,0.36,6,29.1
m200010,EXC,hit2rec7,d7,151,4.8,24,673,209,9.7,27,149,0.3,3.6,5,1.3,12.21,8.57,1.02,2.62,70.2,8.4,21.5,8.97,12.4,36.89,41,13.9,33.7,16.9,124,0.08,6.9,36.6
m200011,EXC,hit2rec7,d7,147,4.6,18,141,157,8.6,20,61,0.5,3.3,4.5,1.2,8.27,6.77,0.17,1.33,81.9,2.1,16.1,9.36,13.1,39.51,42,14,33.1,17.7,561,0.31,5.6,28.5
m200012,EXC,hit2rec7,d7,148,5.7,19,425,199,10,23,119,0.4,3.4,4.8,1.3,13.6,10.94,0.89,1.77,80.4,6.5,13,9.3,13.4,38.18,41,14.4,35.2,17.5,316,0.23,7.2,33.4
m200022,EXC,hit2rec7,d7,149,5.7,24,349,237,9.7,25,93,0.5,3.6,5,1.4,13.35,10.85,0.53,1.97,81.3,3.9,14.8,9.95,13.4,40.2,40,13.5,33.3,17.2,414,0.24,5.8,31.7
m200023,EXC,hit2rec7,d7,152,4.9,25,163,231,9.8,25,57,0.4,3.8,4.9,1.1,10.51,8.64,0.47,1.4,82.2,4.5,13.3,8.83,13.2,36.53,41,15,36.2,16.9,516,0.32,6.3,29.1
m200024,EXC,hit2rec7,d7,152,5.6,25,402,197,10.1,26,99,0.4,3.2,4.7,1.5,14.35,11.38,1.77,1.2,79.3,12.3,8.3,9.52,13.5,38.72,41,14.2,34.9,16.9,419,0.25,6,32.6
m200032,EXC,hit2rec7,d7,152,5.5,25,349,198,9.7,25,90,0.4,3.7,4.7,1,10.69,9.49,0.12,1.08,88.8,1.1,10.1,8.39,12.8,34.48,41,15.2,37.1,17.2,602,0.33,5.6,29.1
