"","ID","Type","Recovery","SacTime","Sodium","Potassium","tCO2","CK","Glucose","CA","BUN","AST","TBIL","ALB","TP","GLOB","WBC","AbsLYM","AbsMON","AbsNEU","LYp","MOp","NEp","RBC","HGB","HCT","MCV","MCH","MCHC","RDWc","PLT","PCT","MPV","PDWc","log_CK","log_AST"
"190","m190116","EXC","hit2rec1","d1",152,5.2,28,379,214,9.9,27,97,0.5,4.3,5,0.8,13.65,11.53,0.14,1.98,84.5,1,14.5,10.08,14,42.31,42,13.9,33.1,17.2,596,0.38,6.4,30.7,593.753620508243,457.471097850338
"191","m200031","EXC","hit2rec1","d1",153,5.3,24,189,215,9.7,27,66,0.3,3.4,4.8,1.3,9.63,7.82,0.46,1.34,81.3,4.8,13.9,7.67,13.1,31.6,41,17.1,41.5,16.6,544,0.3,5.4,28.5,524.174701505964,418.965474202642
"192","m190019","EXC","hit2rec1","d7",146,5.1,22,145,224,9.6,24,52,0.4,3.8,5,1.1,7.14,5.97,0.37,0.8,83.6,5.2,11.2,9.99,13.6,41.08,41,13.6,33.1,16.9,749,0.46,6.2,29.1,497.673374242057,395.124371858143
"193","m190029","EXC","hit2rec1","d7",147,5.4,18,538,203,9.8,21,128,0.4,3.3,4.6,1.3,15.68,10.83,0.91,3.94,69,5.8,25.2,9.87,14.1,40.44,41,14.3,34.9,17.5,245,0.15,6,34.6,628.785856016178,485.203026391962
"194","m190072","EXC","hit2rec1","d7",147,5.2,23,306,237,9.9,22,84,0.5,4,4.9,0.9,5.62,4.53,0.17,0.92,80.5,3.1,16.4,9.62,13.4,39.66,41,14,33.9,16.3,575,0.38,6.6,31.7,572.358510195238,443.081679884331
"195","m190085","EXC","hit2rec1","d7",148,5.1,20,386,208,9.8,23,88,0.4,3.7,4.5,0.8,12.11,10.18,0.57,1.36,84.1,4.7,11.2,9.11,13.1,37.77,41,14.3,34.6,16.6,529,0.34,6.4,30.2,595.583736946483,447.733681447821
"196","m190104","EXC","hit2rec1","d7",147,5,20,355,205,9.9,26,96,0.5,3.9,4.9,1,14.45,11.3,0.93,2.22,78.2,6.4,15.4,10.16,14.2,41.89,41,14,33.8,16.6,416,0.26,6.3,33.8,587.211778947542,456.434819146784
"197","m190117","EXC","hit2rec1","d7",147,5.3,21,344,202,9.7,25,92,0.5,3.9,4.9,1,11.57,9.55,0.69,1.34,82.5,5.9,11.6,10.32,14.8,43.26,42,14.3,34.2,16.9,514,0.31,6,31.2,584.06416573734,452.178857704904
"198","m190212","EXC","hit2rec1","d7",147,5,22,284,244,9.3,26,81,0.4,3.8,4.9,1,9.45,8.56,0.24,0.65,90.6,2.6,6.9,8.78,13,37.17,42,14.8,34.9,16.8,511,0.31,6,29.6,564.897423816121,439.444915467244
"199","m190224","EXC","hit2rec1","d7",147,5.1,22,403,212,9.7,28,105,0.4,3.7,4.9,1.2,12.95,9.13,1.32,2.5,70.5,10.2,19.3,9.26,13.3,37.48,40,14.3,35.4,16.9,222,0.15,6.6,37.4,599.893656194668,465.396035015752
"200","m190147","EXC","hit2rec3","min30",147,4.6,15,505,255,9.6,26,143,0.4,4.3,5.3,0.9,3.05,1.82,0.02,1.21,59.6,0.7,39.7,10.2,14.5,41.86,41,14.2,34.6,16.9,632,0.41,6.5,29.6,622.455842927536,496.284463025991
"201","m190159","EXC","hit2rec3","min30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.65,4.5,0.17,0.98,79.6,3.1,17.3,9.67,13.4,40.05,41,13.9,33.6,16.6,597,0.34,5.6,28.5,NA,NA
"202","m190172","EXC","hit2rec3","min30",147,5.2,15,1373,307,8.9,22,254,0.3,4,4.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,722.475340576797,553.733426701854
"203","m190183","EXC","hit2rec3","min30",148,4.8,16,350,233,10.5,26,132,0.4,4.1,5.4,1.3,1.14,1.01,0.06,0.07,88.4,5.3,6.3,9.71,13.8,39.59,41,14.2,34.9,17.2,746,0.44,5.9,28.5,585.793315448346,488.280192258637
"204","m190207","EXC","hit2rec3","min30",153,4.5,14,714,246,10.5,28,231,0.4,4.3,5.5,1.2,11.43,7.19,1.14,3.11,62.9,9.9,27.2,9.64,14.1,40.71,42,14.7,34.7,16.6,168,0.11,6.3,35.6,657.088296233958,544.241771052179
"205","m190208","EXC","hit2rec3","min30",149,4.2,15,206,202,9.7,29,165,0.4,4,5.3,1.2,2.82,2.44,0.06,0.32,86.6,2.1,11.3,9.13,13.6,38.12,42,14.9,35.7,17.2,594,0.37,6.3,30.2,532.787616878958,510.594547390058
